 x ; u
   0.0000000000000000       ;    0.0000000000000000     
  0.11747233803526766       ;    0.0000000000000000     
  0.35738424175967748       ;    0.0000000000000000     
  0.64261575824032258       ;    0.0000000000000000     
  0.88252766196473231       ;    0.0000000000000000     
   1.0000000000000000       ;    0.0000000000000000     
  0.88252766196473231       ;   0.11747233803526766     
  0.64261575824032258       ;   0.35738424175967748     
  0.35738424175967748       ;   0.64261575824032258     
  0.11747233803526766       ;   0.88252766196473231     
   0.0000000000000000       ;    1.0000000000000000     
   0.0000000000000000       ;   0.88252766196473231     
   0.0000000000000000       ;   0.64261575824032258     
   0.0000000000000000       ;   0.35738424175967748     
   0.0000000000000000       ;   0.11747233803526766     
  0.15828552659831505       ;   0.15828552659831505     
  0.17339206418372680       ;   0.41330396790813662     
  0.15828552659831505       ;   0.68342894680336996     
  0.41330396790813662       ;   0.17339206418372680     
  0.41330396790813662       ;   0.41330396790813662     
  0.68342894680336996       ;   0.15828552659831505     
